fdcId,foodDescription,factorIndex,nutrientConversionFactor.type,nutrientConversionFactor.proteinValue,nutrientConversionFactor.fatValue,nutrientConversionFactor.carbohydrateValue,nutrientConversionFactor.value,nutrientConversionFactor.nitrogenValue
747429,"Cheese, American, restaurant",1,.CalorieConversionFactor,4.27,8.79,3.87,,
747447,"Broccoli, raw",0,.CalorieConversionFactor,2.44,8.37,3.57,,
747447,"Broccoli, raw",1,.ProteinConversionFactor,,,,6.25,
747693,"Ketchup, restaurant",0,.CalorieConversionFactor,2.44,8.37,3.57,,
747997,"Eggs, Grade A, Large, egg white",0,.CalorieConversionFactor,4.36,9.02,3.68,,
747997,"Eggs, Grade A, Large, egg white",1,.ProteinConversionFactor,,,,6.25,
748236,"Eggs, Grade A, Large, egg yolk",0,.ProteinConversionFactor,,,,6.25,
748236,"Eggs, Grade A, Large, egg yolk",1,.CalorieConversionFactor,4.36,9.02,3.68,,
748278,"Oil, canola",0,.ProteinConversionFactor,,,,0.0,
748366,"Oil, soybean",0,.ProteinConversionFactor,,,,0.0,
748967,"Eggs, Grade A, Large, egg whole",0,.CalorieConversionFactor,4.36,9.02,3.68,,
748967,"Eggs, Grade A, Large, egg whole",1,.ProteinConversionFactor,,,,6.25,
749420,"Pork, cured, bacon, cooked, restaurant",0,.CalorieConversionFactor,4.27,9.02,3.87,,
789890,"Flour, wheat, all-purpose, enriched, bleached",0,.CalorieConversionFactor,4.05,8.37,4.12,,
789951,"Flour, wheat, all-purpose, enriched, unbleached",0,.CalorieConversionFactor,4.05,8.37,4.12,,
790018,"Flour, wheat, all-purpose, unenriched, unbleached",0,.CalorieConversionFactor,4.05,8.37,4.12,,
790085,"Flour, whole wheat, unenriched",0,.CalorieConversionFactor,3.59,8.37,3.78,,
790146,"Flour, bread, white, enriched, unbleached",0,.CalorieConversionFactor,4.05,8.37,4.12,,
790214,"Flour, rice, white, unenriched",0,.CalorieConversionFactor,3.82,8.37,4.16,,
790276,"Flour, corn, yellow, fine meal, enriched",0,.CalorieConversionFactor,3.46,8.37,4.16,,
1104647,"Garlic, raw",0,.CalorieConversionFactor,2.78,8.37,3.84,,
1104705,"Flour, soy, defatted",0,.CalorieConversionFactor,3.47,8.37,4.07,,
1104766,"Flour, soy, full-fat",0,.CalorieConversionFactor,3.47,8.37,4.07,,
1104812,"Flour, rice, brown",0,.CalorieConversionFactor,3.41,8.37,4.12,,
1104867,"Flour, rice, glutinous",0,.CalorieConversionFactor,3.82,8.37,4.16,,
1104913,"Flour, pastry, unenriched, unbleached",0,.CalorieConversionFactor,4.05,8.37,4.12,,
1104962,"Onions, white, raw",0,.CalorieConversionFactor,2.78,8.37,3.84,,
1105073,"Bananas, overripe, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
